Day,CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude
Sunday,17091420,BURGLARY AUTO,BURGLARY - VEHICLE,2500 LE CONTE AVE,07/23/2017 12:00:00 AM 06:00,37.876965, -122.260544
Sunday,17038302,BURGLARY AUTO,BURGLARY - VEHICLE,BOWDITCH STREET & CHANNING WAY,07/02/2017 12:00:00 AM 22:00,37.867209, -122.256554
Sunday,17049346,THEFT MISD. (UNDER $950),LARCENY,2900 CHANNING WAY,08/20/2017 12:00:00 AM 23:20,37.867948, -122.250664
Sunday,17091319,THEFT MISD. (UNDER $950),LARCENY,2100 RUSSELL ST,07/09/2017 12:00:00 AM 04:15,37.856719, -122.266672
Sunday,17044238,DISTURBANCE,DISORDERLY CONDUCT,TELEGRAPH AVENUE & DURANT AVE,07/30/2017 12:00:00 AM 01:16,37.867816, -122.258994
Sunday,17046188,THEFT MISD. (UNDER $950),LARCENY,2500 TELEGRAPH AVE,08/06/2017 12:00:00 AM 23:30,37.865009, -122.258767
Sunday,17016785,2ND RESPONSE,NOISE VIOLATION,3000 ACTON ST,03/26/2017 12:00:00 AM 00:51,37.853085, -122.281368
Sunday,17041244,GUN/WEAPON,WEAPONS OFFENSE,SEAWALL DRIVE & UNIVERSITY AVE,07/16/2017 12:00:00 AM 00:07,37.863045, -122.317348
Sunday,17025823,DISTURBANCE,DISORDERLY CONDUCT,2800 SACRAMENTO ST,05/07/2017 12:00:00 AM 17:56,37.856792, -122.279845
Sunday,17041623,THEFT MISD. (UNDER $950),LARCENY,2200 DWIGHT WAY,07/16/2017 12:00:00 AM 13:00,37.864238, -122.265263
Sunday,17049351,DISTURBANCE,DISORDERLY CONDUCT,1800 EUCLID AVE,08/20/2017 12:00:00 AM 20:00,37.876045, -122.260336
Sunday,17027280,ASSAULT/BATTERY MISD.,ASSAULT,2100 CALIFORNIA ST,05/14/2017 12:00:00 AM 09:36,37.869524, -122.27965
Sunday,17047514,THEFT MISD. (UNDER $950),LARCENY,2500 BANCROFT WAY,08/13/2017 12:00:00 AM 17:25,37.868722, -122.259123
Sunday,17091609,THEFT FELONY (OVER $950),LARCENY,1800 SONOMA AVE,08/13/2017 12:00:00 AM 09:00,37.885752, -122.27805
Sunday,17050168,IDENTITY THEFT,FRAUD,2000 HASTE ST,07/16/2017 12:00:00 AM 10:00,37.86456, -122.269954
Sunday,17042959,ROBBERY,ROBBERY,1300 GLENDALE AVE,07/23/2017 12:00:00 AM 23:30,37.885525, -122.254405
Sunday,17013843,NARCOTICS,DRUG VIOLATION,1000 DWIGHT WAY,03/12/2017 12:00:00 AM 12:49,37.860732, -122.291369
Sunday,17091281,VANDALISM,VANDALISM,ALLSTON WAY & CALIFORNIA ST,07/02/2017 12:00:00 AM 21:45,37.867106, -122.286054
Sunday,17041313,DISTURBANCE,DISORDERLY CONDUCT,1700 UNIVERSITY AVE,07/16/2017 12:00:00 AM 09:04,37.870948, -122.27733
Sunday,17031936,THEFT FELONY (OVER $950),LARCENY,1900 FOURTH ST,06/04/2017 12:00:00 AM 14:40,37.868281, -122.300102
Sunday,17091341,IDENTITY THEFT,FRAUD,1900 BERRYMAN ST,05/07/2017 12:00:00 AM 13:00,37.883285, -122.274145
Sunday,17024233,NARCOTICS,DRUG VIOLATION,ADDISON STREET & FOURTH ST,04/30/2017 12:00:00 AM 22:24,37.866253, -122.299483
Sunday,17091272,BURGLARY AUTO,BURGLARY - VEHICLE,2745 BANCROFT WAY,07/02/2017 12:00:00 AM 10:00,37.869545, -122.252577
Sunday,17025764,THEFT MISD. (UNDER $950),LARCENY,2700 MILVIA ST,05/07/2017 12:00:00 AM 11:00,37.860225, -122.269453
Sunday,17091038,THEFT FELONY (OVER $950),LARCENY,3046 COLLEGE AVE,05/28/2017 12:00:00 AM 04:30,37.854358, -122.252784
Sunday,17044250,BURGLARY AUTO,BURGLARY - VEHICLE,GRANT STREET & CHANNING WAY,07/30/2017 12:00:00 AM 02:25,37.864872, -122.274587
Sunday,17038384,MISSING JUVENILE,MISSING PERSON,4509 MARKET ST,07/02/2017 12:00:00 AM 22:00,Berkeley, CA
Sunday,17042873,DISTURBANCE,DISORDERLY CONDUCT,100 UNIVERSITY AVE,07/23/2017 12:00:00 AM 01:50,37.86331, -122.316113
Sunday,17044256,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2500 PIEDMONT AVE,07/30/2017 12:00:00 AM 03:50,37.865868, -122.251595
Sunday,17022535,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,04/23/2017 12:00:00 AM 01:43,37.866981, -122.302083
Sunday,17036774,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 WOOLSEY ST,06/25/2017 12:00:00 AM 21:09,37.854137, -122.251007
Sunday,17018444,BURGLARY AUTO,BURGLARY - VEHICLE,DURANT AVENUE & ELLSWORTH ST,04/02/2017 12:00:00 AM 19:30,37.867221, -122.263531
Sunday,17091062,THEFT MISD. (UNDER $950),LARCENY,2300 SHATTUCK AVE,06/04/2017 12:00:00 AM 00:05,37.867176, -122.267802
Sunday,17090676,VANDALISM,VANDALISM,MILVIA STREET & BANCROFT WAY,04/02/2017 12:00:00 AM 19:00,37.867291, -122.270245
Sunday,17041546,BURGLARY AUTO,BURGLARY - VEHICLE,2800 GRANT ST,07/16/2017 12:00:00 AM 22:30,37.857647, -122.273145
Sunday,17022549,NARCOTICS,DRUG VIOLATION,1400 UNIVERSITY AVE,04/23/2017 12:00:00 AM 02:41,37.870054, -122.284263
Sunday,17022543,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,04/23/2017 12:00:00 AM 02:13,37.866981, -122.302083
Sunday,17028906,VEHICLE STOLEN,MOTOR VEHICLE THEFT,CURTIS STREET & HEARST AVE,05/21/2017 12:00:00 AM 16:00,37.870911, -122.289684
Sunday,17091535,BURGLARY AUTO,BURGLARY - VEHICLE,1900 CENTER ST,08/06/2017 12:00:00 AM 11:00,37.869685, -122.272804
Sunday,17047454,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1200 SIXTH ST,08/13/2017 12:00:00 AM 00:00,37.881142, -122.30191
Sunday,17090679,THEFT FELONY (OVER $950),LARCENY,BANCROFT WAY &TELEGRAPH AVE,04/02/2017 12:00:00 AM 18:30,Berkeley, CA
Sunday,17021185,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,04/16/2017 12:00:00 AM 16:30,37.862844, -122.298368
Sunday,17017029,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1200 UNIVERSITY AVE,03/26/2017 12:00:00 AM 00:00,37.869385, -122.28953
Sunday,17030403,BURGLARY AUTO,BURGLARY - VEHICLE,FIFTH STREET & HARRISON ST,05/28/2017 12:00:00 AM 12:10,37.880922, -122.303115
Sunday,17046021,ASSAULT/BATTERY MISD.,ASSAULT,2000 UNIVERSITY AVE,08/06/2017 12:00:00 AM 22:00,37.871828, -122.270516
Sunday,17047570,SEXUAL ASSAULT FEL.,SEX CRIME,200 UNIVERSITY AVE,08/13/2017 12:00:00 AM 12:30,37.865491, -122.310065
Sunday,17030447,ROBBERY,ROBBERY,1700 SOLANO AVE,05/28/2017 12:00:00 AM 17:50,37.891214, -122.282158
Sunday,17091415,BURGLARY AUTO,BURGLARY - VEHICLE,2700 WEBSTER ST,07/23/2017 12:00:00 AM 06:50,37.855798, -122.252707
Sunday,17091481,BURGLARY AUTO,BURGLARY - VEHICLE,2400 HASTE ST,07/30/2017 12:00:00 AM 10:00,37.865849, -122.259977
